X,SimNetwork.a.parkingLot/parkingOccupancy:vector
200100,0
201300,1
203100,0
204300,1
206100,0
207300,1
209100,0
210300,1
212100,0
213300,1
215100,0
216300,1
218100,0
219300,1
221100,0
222300,1
224100,0
225300,1
227100,0
228300,1
230100,0
231300,1
233100,0
234300,1
236100,0
237300,1
239100,0
240300,1
242100,0
243300,1
245100,0
246300,1
248100,0
249300,1
251100,0
252300,1
254100,0
255300,1
257100,0
258300,1
260100,0
261300,1
263100,0
264300,1
266100,0
267300,1
269100,0
270300,1
272100,0
273300,1
275100,0
276300,1
278100,0
279300,1
281100,0
282300,1
284100,0
285300,1
287100,0
288300,1
290100,0
291300,1
293100,0
294300,1
296100,0
297300,1
299100,0
300300,1
302100,0
303300,1
305100,0
306300,1
308100,0
309300,1
311100,0
312300,1
314100,0
315300,1
317100,0
318300,1
320100,0
321300,1
323100,0
324300,1
326100,0
327300,1
329100,0
330300,1
332100,0
333300,1
335100,0
336300,1
338100,0
339300,1
341100,0
342300,1
344100,0
345300,1
347100,0
348300,1
350100,0
351300,1
353100,0
354300,1
356100,0
357300,1
359100,0
360300,1
362100,0
363300,1
365100,0
366300,1
368100,0
369300,1
371100,0
372300,1
374100,0
375300,1
377100,0
378300,1
380100,0
381300,1
383100,0
384300,1
386100,0
387300,1
389100,0
390300,1
392100,0
393300,1
395100,0
396300,1
398100,0
399300,1
401100,0
402300,1
404100,0
405300,1
407100,0
408300,1
410100,0
411300,1
413100,0
414300,1
416100,0
417300,1
419100,0
420300,1
422100,0
423300,1
425100,0
426300,1
428100,0
429300,1
431100,0
432300,1
434100,0
435300,1
437100,0
438300,1
440100,0
441300,1
443100,0
444300,1
446100,0
447300,1
449100,0
450300,1
452100,0
453300,1
455100,0
456300,1
458100,0
459300,1
461100,0
462300,1
464100,0
465300,1
467100,0
468300,1
470100,0
471300,1
473100,0
474300,1
476100,0
477300,1
479100,0
480300,1
482100,0
483300,1
485100,0
486300,1
488100,0
489300,1
491100,0
492300,1
494100,0
495300,1
497100,0
498300,1
500100,0
501300,1
503100,0
504300,1
506100,0
507300,1
509100,0
510300,1
512100,0
513300,1
515100,0
516300,1
518100,0
519300,1
521100,0
522300,1
524100,0
525300,1
527100,0
528300,1
530100,0
531300,1
533100,0
534300,1
536100,0
537300,1
539100,0
540300,1
542100,0
543300,1
545100,0
546300,1
548100,0
549300,1
551100,0
552300,1
554100,0
555300,1
557100,0
558300,1
560100,0
561300,1
563100,0
564300,1
566100,0
567300,1
569100,0
570300,1
572100,0
573300,1
575100,0
576300,1
578100,0
579300,1
581100,0
582300,1
584100,0
585300,1
587100,0
588300,1
590100,0
591300,1
593100,0
594300,1
596100,0
597300,1
599100,0
600300,1
602100,0
603300,1
605100,0
606300,1
608100,0
609300,1
611100,0
612300,1
614100,0
615300,1
617100,0
618300,1
620100,0
621300,1
623100,0
624300,1
626100,0
627300,1
629100,0
630300,1
632100,0
633300,1
635100,0
636300,1
638100,0
639300,1
641100,0
642300,1
644100,0
645300,1
647100,0
648300,1
650100,0
651300,1
653100,0
654300,1
656100,0
657300,1
659100,0
660300,1
662100,0
663300,1
665100,0
666300,1
668100,0
669300,1
671100,0
672300,1
674100,0
675300,1
677100,0
678300,1
680100,0
681300,1
683100,0
684300,1
686100,0
687300,1
689100,0
690300,1
692100,0
693300,1
695100,0
696300,1
698100,0
699300,1
701100,0
702300,1
704100,0
705300,1
707100,0
708300,1
710100,0
711300,1
713100,0
714300,1
716100,0
717300,1
719100,0
720300,1
722100,0
723300,1
725100,0
726300,1
728100,0
729300,1
731100,0
732300,1
734100,0
735300,1
737100,0
738300,1
740100,0
741300,1
743100,0
744300,1
746100,0
747300,1
749100,0
750300,1
752100,0
753300,1
755100,0
756300,1
758100,0
759300,1
761100,0
762300,1
764100,0
765300,1
767100,0
768300,1
770100,0
771300,1
773100,0
774300,1
776100,0
777300,1
779100,0
780300,1
782100,0
783300,1
785100,0
786300,1
788100,0
789300,1
791100,0
792300,1
794100,0
795300,1
797100,0
798300,1
800100,0
801300,1
803100,0
804300,1
806100,0
807300,1
809100,0
810300,1
812100,0
813300,1
815100,0
816300,1
818100,0
819300,1
821100,0
822300,1
824100,0
825300,1
827100,0
828300,1
830100,0
831300,1
833100,0
834300,1
836100,0
837300,1
839100,0
840300,1
842100,0
843300,1
845100,0
846300,1
848100,0
849300,1
851100,0
852300,1
854100,0
855300,1
857100,0
858300,1
860100,0
861300,1
863100,0
864300,1
866100,0
867300,1
869100,0
870300,1
872100,0
873300,1
875100,0
876300,1
878100,0
879300,1
881100,0
882300,1
884100,0
885300,1
887100,0
888300,1
890100,0
891300,1
893100,0
894300,1
896100,0
897300,1
899100,0
900300,1
902100,0
903300,1
905100,0
906300,1
908100,0
909300,1
911100,0
912300,1
914100,0
915300,1
917100,0
918300,1
920100,0
921300,1
923100,0
924300,1
926100,0
927300,1
929100,0
930300,1
932100,0
933300,1
935100,0
936300,1
938100,0
939300,1
941100,0
942300,1
944100,0
945300,1
947100,0
948300,1
950100,0
951300,1
953100,0
954300,1
956100,0
957300,1
959100,0
960300,1
962100,0
963300,1
965100,0
966300,1
968100,0
969300,1
971100,0
972300,1
974100,0
975300,1
977100,0
978300,1
980100,0
981300,1
983100,0
984300,1
986100,0
987300,1
989100,0
990300,1
992100,0
993300,1
995100,0
996300,1
998100,0
999300,1
1001100,0
1002300,1
1004100,0
1005300,1
1007100,0
1008300,1
1010100,0
1011300,1
1013100,0
1014300,1
1016100,0
1017300,1
1019100,0
1020300,1
1022100,0
1023300,1
1025100,0
1026300,1
1028100,0
1029300,1
1031100,0
1032300,1
1034100,0
1035300,1
1037100,0
1038300,1
1040100,0
1041300,1
1043100,0
1044300,1
1046100,0
1047300,1
1049100,0
1050300,1
1052100,0
1053300,1
1055100,0
1056300,1
1058100,0
1059300,1
1061100,0
1062300,1
1064100,0
1065300,1
1067100,0
1068300,1
1070100,0
1071300,1
1073100,0
1074300,1
1076100,0
1077300,1
1079100,0
1080300,1
1082100,0
1083300,1
1085100,0
1086300,1
1088100,0
1089300,1
1091100,0
1092300,1
1094100,0
1095300,1
1097100,0
1098300,1
1100100,0
1101300,1
1103100,0
1104300,1
1106100,0
1107300,1
1109100,0
1110300,1
1112100,0
1113300,1
1115100,0
1116300,1
1118100,0
1119300,1
1121100,0
1122300,1
