time,SimNetwork.a.parkingLot.parkingOccupancy:vector
100589.40099787569,1
101623.404015753644,0
111252.256623467626,1
113167.16136212351,0
117634.674378748551,1
119226.940416208404,0
120297.489446344929,1
121901.304917776033,0
123417.196333077119,1
125154.665949627666,0
125306.198236204109,1
126376.871285419416,2
126647.458733281792,3
126836.322441569796,2
128034.654756312587,1
128420.55823768962,0
129386.104353478325,1
129827.521204352909,2
131377.738975633547,1
131563.70222220988,0
136447.608817067072,1
137841.208075361849,2
138303.556163309354,3
138606.383841327835,2
139667.234023907451,1
140120.355934098627,0
140398.85802662215,1
142241.299347568602,0
142983.854308872796,1
144544.179778808274,0
144576.213215429324,1
146506.240206700064,0
155692.899609846367,1
157274.964064190101,0
159880.322771765037,1
160546.061828757575,2
161710.209497114091,1
162438.410303813555,2
162501.643008380981,1
164399.257084242668,0
166077.268218710501,1
167831.810031609064,0
169607.450758473632,1
171370.0683973696,0
171966.410185409178,1
173787.693623113268,0
174388.895066455137,1
175991.793964476674,0
183070.26112691889,1
184928.631253773211,0
186453.436880372319,1
187576.713750646285,2
187899.050214108573,1
189401.299766406033,0
190435.319613089218,1
192203.271515914235,2
192431.288279164454,1
193882.178848792574,0
196056.733059967792,1
196338.764345265245,2
197987.164625918067,1
198030.317506740167,0
202515.06272870382,1
204371.405363916544,0
208630.014508403992,1
210156.96939885081,0
212115.92301371844,1
213906.73863876008,0
220916.277739631196,1
222706.466497765716,0
230389.079882640233,1
231936.345797664201,0
232091.169771285594,1
232762.822271542546,2
233169.17420707859,3
233782.800911499136,4
233975.872748418942,3
234660.660416314462,2
234793.229184479679,1
235657.594857248127,0
236301.194861447214,1
238180.287056740358,0
240340.601532801914,1
242194.03930518313,0
242782.91762984758,1
243841.734690277835,2
244124.605253456521,3
244442.086805290888,4
244659.266506948248,3
245684.294489750173,2
245716.348120749178,1
246027.229052217443,0
247225.757370419782,1
248586.677769727619,0
249147.708484306043,1
251146.675606211891,0
253868.184331549927,1
255704.64647833158,0
259468.17147895006,1
260712.86964282947,2
261579.565572750598,1
262723.938124358596,0
273331.567138336748,1
273785.424482689314,2
275187.424836646686,1
275317.344096995625,2
275635.811466805476,3
275712.778574792504,2
276849.041014954474,1
277103.104107011611,0
278178.916609437954,1
278973.685501879098,2
280129.687344912082,1
280746.996249411694,0
288109.475607911913,1
288388.979582282893,2
290009.087077956604,1
290191.501403666914,0
291731.20523355414,1
293625.051167418506,0
295602.918053368301,1
297267.311724989055,0
297823.738249371214,1
299550.099277637264,0
301000.078268836309,1
303071.78868979946,0
306283.816292830493,1
308143.611469034681,0
309888.472203306652,1
310408.00332730451,2
311437.016540056844,3
311927.605781806424,2
312239.467040804422,1
313225.213200300192,0
315908.026564081099,1
316995.382827000208,2
317573.784196943747,3
317888.272473120586,2
318805.51854280925,1
319270.272932213694,0
319390.809987786336,1
321299.182776899453,0
321874.482045012164,1
323598.16790268007,0
328665.027964666391,1
328975.974537757488,2
330168.160999581516,1
330706.149054468086,0
332828.138162831855,1
334598.292650184191,0
336558.551303878143,1
337049.125713324056,2
337840.658499857012,3
338508.037737670625,2
339079.7111083287,1
339718.47907012919,0
343775.015380194199,1
345662.954582177157,0
358445.682541525456,1
359870.005358828225,0
359899.45172313458,1
361672.623255210507,2
361682.387569952192,1
363351.464613726319,0
371233.624836685274,1
372857.849319707503,0
376872.464935852902,1
378596.628564992889,0
385582.662632928576,1
385918.957378527036,2
387524.26425106102,1
387719.571609983187,0
388693.21691640747,1
389022.280520020138,2
389688.04411160818,3
390703.311559847667,2
390978.779230954304,1
391145.171845688943,0
401625.018031566361,1
403681.75649860139,0
404750.773606440891,1
405835.395794072693,2
406684.947393877398,1
406727.903300457306,2
407639.754247750888,1
408659.91306805048,0
409660.634569103503,1
411335.201793655665,0
413326.67758354492,1
414715.994821620619,2
415122.752464480363,1
415720.013721794725,2
416684.146477898466,1
416987.204996230216,2
417831.662101756815,1
418084.494622167314,2
418787.692736129262,1
419802.045102857249,0
420055.293813131148,1
421819.574477497986,0
423959.124727710614,1
425123.07261363283,2
425688.246768737735,3
425796.561527378726,2
426872.437343848232,1
427478.580416115495,0
432269.975159608304,1
434070.776346717514,0
438348.135778564211,1
438820.906403979279,2
439996.648307260688,1
440555.129456006831,0
440612.069575851026,1
442343.144324040911,0
442422.134835488301,1
443823.863900701116,2
444290.513408675148,1
445610.687557378935,0
455471.174885353817,1
457133.031858962247,0
457908.972921028516,1
458192.071934708706,2
459604.285384717429,1
459614.715372198274,0
460191.360478946425,1
462391.479166274588,0
463006.277093000868,1
463881.543178359082,2
465105.179476455076,1
465457.663690436578,0
466114.750351747215,1
467767.296732100176,0
469774.681655834188,1
471709.189421880962,0
472309.843139446402,1
472638.471059405396,2
474087.899286970232,1
474231.681720114564,0
475301.333271946521,1
476888.344486003258,2
476997.173823761464,1
478831.180195270921,0
483937.048188541696,1
485631.543950514075,0
486527.876084323174,1
487936.781208809334,2
488078.427093625496,1
490068.513785278855,0
490734.886694031519,1
492407.021066487831,0
492501.575268613335,1
493691.989013801859,2
494632.55632700032,1
495588.545295418847,0
507871.463998428598,1
509462.898382183611,2
509956.612053839068,1
511183.408822213669,0
515871.927197539836,1
517454.500938697402,0
518054.947050866047,1
520310.701560480426,0
521373.181063365106,1
521604.89467993277,2
522648.190566457723,3
523085.82748221698,4
523177.07180525613,3
523531.364018207463,2
524099.210317199459,3
524218.857258938676,2
524391.400064721451,3
524950.565641035115,2
525997.254989240395,1
526128.496693866784,0
531407.760754627228,1
533134.288747373529,0
534780.782596759802,1
535083.817644765825,2
536392.866991777624,1
536985.92071371468,2
537101.367349784729,1
537756.02800524853,2
538844.007133559247,1
539574.5675929441,0
539736.585092961781,1
541370.158234532518,0
541437.716655103445,1
543375.932178470659,0
551944.227606013293,1
553920.329843973125,0
557147.612905124332,1
558448.803361789039,2
558672.392987567058,1
559795.909545529992,0
561786.918449485042,1
563631.572120142361,0
565408.138076121958,1
565716.914586685384,2
567069.590924892709,1
567150.96801383459,2
567626.326848767222,1
568870.508403952056,2
568876.82358828986,1
570911.609557925252,0
574517.63524943532,1
575270.6010503491,2
576419.840608828376,1
577090.348610769596,0
578455.356899900322,1
579942.601021536421,2
580364.402341300361,1
581601.882195761416,0
585854.462720747648,1
587807.380342252129,0
587908.866822720234,1
589681.311575418361,0
593771.778778408634,1
594052.341592944724,2
595167.475290437138,3
595485.947429168203,4
595491.689563432657,3
595710.165876482328,2
597058.575662474066,1
597207.205631620964,0
598110.558833286922,1
599874.963856373077,0
602625.578967635507,1
604251.713430187749,0
606653.751127739135,1
608803.187003027056,0
609961.000182644444,1
611752.363665139034,0
615965.339301775608,1
617936.701152717558,0
625429.251269569028,1
625709.858951556866,2
627165.499035645794,1
627464.769914816355,0
629966.108822882531,1
630702.604597261275,2
631196.233281821601,3
631762.291258857886,2
632513.940447012277,1
632939.838621676022,0
636996.084019916718,1
638197.092460061045,2
638624.189394973781,1
640010.608824615271,0
640633.015056512054,1
641034.08735597988,2
642562.99815706056,3
642736.967942326071,2
642748.714374968654,1
643278.804997536308,2
644096.498795638102,1
644987.729480817497,0
645168.650742995616,1
645901.39064338795,2
646258.234073450714,3
647087.351152417122,2
647826.89390707424,1
648045.9718474105,0
648885.758129439773,1
650926.823051711823,0
655323.050942953865,1
656927.189444021017,0
660171.322317383901,1
662178.079487399535,0
662359.738482805605,1
662636.357690901012,2
662909.507389892841,3
663238.10578045266,4
664186.508263993046,3
664294.308372532269,2
664571.903548926375,1
665330.506087750728,0
668636.348617337821,1
669490.401092400283,2
670002.525392710669,3
670454.48163972398,2
671211.716373136639,1
671860.420229141321,0
671896.641273828101,1
672515.465707704094,2
673780.529444447288,1
674336.487973309148,0
676336.342749887,1
677800.687582991752,0
677966.024875059735,1
679705.270023315812,2
679988.75149199261,1
681495.020623132681,0
690876.37810901608,1
691547.310491939161,2
692727.748920314029,1
693148.728157395588,0
694595.774859294092,1
696260.259207267963,0
696960.923214410087,1
698567.932927756036,0
701394.086309937573,1
701704.88954835115,2
702004.762037851516,3
703211.428533331685,2
703301.959875118045,1
703403.741365240897,2
703708.570744622905,1
705106.331406598229,0
705376.633195727563,1
705686.114627191239,2
707269.60119595701,1
707356.406216897653,0
711587.580182926258,1
713580.049398180967,0
714239.191932848727,1
714509.121478645739,2
716314.024365118631,3
716318.572700126912,2
716359.355998113905,1
716904.671504835461,2
717891.055549642717,1
718541.700338862806,0
723500.735816307695,1
725264.620801148084,0
727485.356733173964,1
727808.147081286147,2
728143.022362674217,3
728939.731080624388,2
729548.632982609755,1
729665.411332733073,0
731076.5503686909,1
732870.568867876983,0
740961.608587470775,1
742517.60477850492,0
743987.986617048304,1
745654.877021940352,0
746285.252404359637,1
748034.70459602467,0
751061.993228626794,1
752833.015452717859,0
755013.317862025128,1
756431.353592547176,2
756685.107292030502,1
757653.557407900977,2
758190.315910128262,1
759639.995307704788,0
775578.083694445775,1
777302.183121911254,0
778111.839732923638,1
779843.127562297701,0
786175.772255682579,1
788023.935747385998,0
791218.869373555395,1
792996.671856793531,0
793788.731818501714,1
794989.651099010209,2
795540.047111717838,3
795804.603718576914,2
796728.059160590469,1
797456.417251620274,0
807294.196147030261,1
809241.377748030574,0
820762.698054944244,1
822610.146188355597,0
823190.432945485844,1
825001.284060532568,0
825855.81258731934,1
827764.706674002306,0
830291.680979297918,1
831562.409516199255,2
832020.552633413559,1
833321.561511555716,0
833491.109180006811,1
834962.114322649277,0
848357.321554377544,1
848631.442302230844,2
850207.806274236726,1
850336.046911268545,0
852526.808638628691,1
854482.43769643304,0
857575.221390368115,1
859269.648351638992,0
864204.074847989402,1
866147.204396451205,2
866186.718290963388,1
868040.787867042998,0
868963.911261254083,1
870724.602358228894,0
870798.206806756618,1
872859.842030424217,0
880909.538902587096,1
883151.978915282458,0
884910.152483495249,1
886248.553328968594,2
886593.366384560856,1
887935.64444685068,0
888602.995603604051,1
888938.417817748482,2
890138.392390199694,1
890459.406250444319,0
892420.87628354144,1
893954.735247348721,0
894147.1930819628,1
894443.375705116459,2
894728.399419925343,3
895369.13847810718,4
895597.318793313682,3
896349.875569798269,2
896576.458360923175,1
897380.801638885954,0
897954.090832642747,1
899841.766737562164,0
904179.755263599153,1
904551.374863554852,2
904904.62510744337,3
905208.829657200799,4
905749.307931509196,3
906042.710269412932,2
906649.021713230986,1
906675.180099534088,2
906741.279433725303,1
908509.242576302334,0
910709.538190492472,1
912640.402466347513,0
912698.500920743259,1
913350.712551169485,2
914495.052779192981,1
915124.540554477089,0
921737.921236553335,1
923606.335723478824,0
929367.434296785632,1
929826.375311890226,2
931013.931987664627,3
931029.186794911851,2
931622.173986332557,1
932735.931373802165,2
932940.616048659131,1
933025.71950721949,2
933332.384912833551,3
934358.595962341444,2
934505.240322604925,1
935272.64489039693,0
940283.927908844901,1
941883.200522197485,2
942303.442398055387,1
943752.86189545358,0
944332.380925060702,1
946176.963797611992,0
950147.956098351527,1
950460.058065751308,2
950765.311746824017,3
951810.381758587849,2
952243.389885053785,1
952533.85346211995,0
955144.457925099232,1
955609.313411459253,2
957351.073425892074,1
957367.612741592129,0
958903.75563838848,1
960934.091698748594,0
961191.653724287475,1
963294.532904312196,0
972028.551565536949,1
972304.988587931746,2
974012.176703233536,1
974089.587008336005,0
981435.682493649027,1
983300.319157646232,0
986647.961634803089,1
988251.313433566402,0
997038.922929955496,1
997764.07567559832,2
998761.766188705862,1
999464.68457459092,2
999522.933120509281,1
1001398.980310312719,0
1001439.803738995696,1
1002489.169548865582,2
1002894.058510257858,3
1003067.604024665104,2
1004258.967076383572,3
1004360.188999567113,2
1004655.120953505522,1
1006146.602987572689,0
1006832.540575746916,1
1008668.807342255545,0
1009408.91613687564,1
1010607.77143578392,2
1011261.810705938318,1
1012280.515969707278,0
1019199.483991680043,1
1020713.167745709056,2
1020866.078457437892,1
1021469.711714552497,2
1022547.844502011761,1
1023239.340306864547,0
1024508.914340477665,1
1026565.03612419097,0
1029145.761128215728,1
1031160.073458538031,0
1032122.113787198776,1
1034004.401404624738,0
1034829.857303892748,1
1036734.070202628313,0
